Team,ATS Record,Cover %,MOV,ATS +/-
N Illinois,7-9-0,43.8%,-8.2,-4.1
Saint Louis,7-9-0,43.8%,2.9,+0.7
Belmont,7-9-2,43.8%,2.3,+0.2
Northwestern,7-9-1,43.8%,-0.2,-2.2
Jacksonville,3-4-0,42.9%,-9.4,-4.4
Lipscomb,3-4-0,42.9%,7.3,+2.9
Monmouth,3-4-0,42.9%,-11.1,-5.1
E Illinois,3-4-0,42.9%,-6.3,+0.1
Virginia,6-8-0,42.9%,-1.6,-1.7
Washington,6-8-0,42.9%,-6.9,-4.5
Hampton,3-4-0,42.9%,-5.4,+2.2
S Utah,3-4-0,42.9%,1.8,-3.4
Cincinnati,6-8-0,42.9%,4.3,-1.6
W Virginia,6-8-0,42.9%,2.4,-0.2
Central Mich,6-8-1,42.9%,-1.4,0.0
GA Tech,8-11-0,42.1%,-1.2,-0.2
Santa Clara,5-7-0,41.7%,6.6,+1.0
Longwood,5-7-0,41.7%,8.6,-0.5
Boston Col,5-7-0,41.7%,-9.2,-4.3
Valparaiso,7-10-1,41.2%,0.2,-0.4
Utah,7-10-0,41.2%,1.6,-3.0
Murray St,7-10-0,41.2%,-1.3,-2.4
Arkansas,7-10-0,41.2%,6.2,+0.4
Miss Val St,2-3-0,40.0%,-21.3,0.0
Jackson St,2-3-0,40.0%,-22.2,+1.8
Maryland BC,2-3-0,40.0%,9.1,-7.1
St Peters,2-3-0,40.0%,4.3,-3.3
Portland St,2-3-0,40.0%,5.5,-2.0
Bowling Grn,6-9-0,40.0%,0.4,-0.8
Howard,2-3-0,40.0%,8.1,-0.1
Utah St,6-9-0,40.0%,11.3,-1.9
Cal Baptist,2-3-0,40.0%,1.2,0.0
La Salle,6-9-0,40.0%,-1.3,-0.1
Sacred Hrt,2-3-0,40.0%,-3.2,-1.8
Oral Roberts,2-3-0,40.0%,0.9,-0.2
Montana St,2-3-0,40.0%,-3.4,-4.2
Princeton,2-3-0,40.0%,4.6,-6.0
Morehead St,2-3-0,40.0%,-5.4,-4.4
Mercer,7-11-1,38.9%,-5.2,-2.4
Wake Forest,7-11-1,38.9%,2.6,-2.2
LSU,5-8-1,38.5%,-3.1,-0.6
San Diego St,5-8-0,38.5%,7.5,-1.6
Temple,5-8-0,38.5%,2.6,-0.8
Oklahoma,5-8-0,38.5%,0.9,-1.6
Houston,5-8-0,38.5%,14.1,-1.8
Loyola-MD,5-8-0,38.5%,-5.0,-1.9
Canisius,3-5-0,37.5%,-15.0,-3.4
Butler,6-10-1,37.5%,-1.8,-2.4
San Diego,3-5-0,37.5%,-12.0,-3.5
Citadel,6-10-0,37.5%,-5.8,-0.6
Old Dominion,3-5-0,37.5%,0.7,+1.0
Idaho,3-5-0,37.5%,0.7,+1.9
Texas St,3-5-0,37.5%,6.5,-3.8
Abl Christian,3-5-0,37.5%,7.0,+1.1
Chicago St,3-5-0,37.5%,-26.1,-4.6
SC Upstate,6-10-0,37.5%,-7.9,-3.1
Evansville,7-12-0,36.8%,-5.2,-1.0
WI-Milwkee,4-7-0,36.4%,0.1,-0.5
Ball St,5-9-0,35.7%,-0.5,-3.0
Dayton,5-9-0,35.7%,3.9,-5.1
Miami,5-9-0,35.7%,-12.9,-8.1
N Kentucky,6-11-0,35.3%,1.0,-2.6
Samford,4-8-0,33.3%,9.6,-1.8
Tulsa,5-10-0,33.3%,-7.7,-5.5
Sam Hous St,1-2-0,33.3%,-5.0,-9.5
N Arizona,2-4-0,33.3%,4.6,-1.9
TN Tech,1-2-1,33.3%,0.8,+0.5
Wagner,3-6-0,33.3%,0.8,-4.6
Stetson,2-4-0,33.3%,-17.8,-8.9
Prairie View,1-2-0,33.3%,-28.3,-5.0
McNeese St,1-2-0,33.3%,22.0,-0.5
UCSB,2-4-0,33.3%,4.3,-4.7
Colorado,4-8-0,33.3%,-5.8,-2.7
Stony Brook,3-6-0,33.3%,-14.9,-7.3
TX A&M-CC,1-2-0,33.3%,22.3,+3.8
S Florida,5-10-0,33.3%,1.1,-2.9
New Orleans,1-2-0,33.3%,-23.0,+0.8
Ark Pine Bl,3-6-0,33.3%,-24.9,-5.0
Grd Canyon,1-2-0,33.3%,19.8,-2.8
Minnesota,5-10-1,33.3%,-5.0,-2.3
Wofford,5-10-0,33.3%,-1.3,-3.5
NJIT,3-6-0,33.3%,-13.4,-3.3
Harvard,2-4-0,33.3%,-8.8,-3.1
Charlotte,4-8-0,33.3%,-2.7,-3.0
Florida Intl,2-4-0,33.3%,-3.5,-1.9
Merrimack,2-4-1,33.3%,-8.0,+0.4
Lindenwood,1-2-0,33.3%,17.2,+3.8
S Indiana,3-6-0,33.3%,-6.0,-2.1
Kansas,5-11-0,31.3%,6.3,-3.5
Oregon,5-11-0,31.3%,0.9,-4.1
Michigan,4-9-0,30.8%,9.7,-0.9
Memphis,4-9-0,30.8%,5.5,-1.8
NC State,4-9-0,30.8%,-2.0,-5.3
Seton Hall,4-9-0,30.8%,-8.6,-5.5
GA Southern,3-7-1,30.0%,-2.9,-1.9
Wichita St,3-7-1,30.0%,2.5,-3.8
Coastal Car,3-7-0,30.0%,-10.1,-6.5
Richmond,5-12-0,29.4%,-5.9,-2.6
N Carolina,4-10-1,28.6%,0.5,-3.3
Sac State,2-5-1,28.6%,-12.4,-6.7
Notre Dame,4-10-1,28.6%,-1.2,-3.7
Pepperdine,2-5-0,28.6%,1.9,-1.4
Mass Lowell,2-5-0,28.6%,13.6,-1.8
W Michigan,4-10-0,28.6%,-6.5,-6.5
Miss State,4-10-0,28.6%,2.6,-6.2
Seattle,2-5-0,28.6%,-8.6,-2.4
Bellarmine,2-5-0,28.6%,-0.3,-1.3
UL Monroe,3-8-0,27.3%,-9.5,-3.2
N Hampshire,1-3-0,25.0%,-10.8,-2.1
W Illinois,1-3-0,25.0%,-6.8,-4.9
Gonzaga,2-6-0,25.0%,19.4,-2.9
Presbyterian,3-9-0,25.0%,-1.4,-4.6
Niagara,1-3-0,25.0%,-8.8,-2.5
Delaware,1-3-0,25.0%,4.4,-4.6
UCSD,1-3-0,25.0%,5.3,-5.1
Tarleton St,1-3-0,25.0%,-22.3,-8.5
Le Moyne,2-6-0,25.0%,-9.2,-3.6
WI-Grn Bay,3-10-1,23.1%,-12.9,-5.9
Vermont,2-7-0,22.2%,-1.8,-6.5
TX Christian,3-11-0,21.4%,-3.5,-5.0
CS Fullerton,1-4-0,20.0%,-8.8,-1.5
Alab A&M,1-4-0,20.0%,-10.0,-6.0
Coppin St,1-4-0,20.0%,-21.0,-5.6
Campbell,2-8-0,20.0%,0.7,-3.7
Air Force,3-14-0,17.7%,-10.8,-4.4
N Colorado,1-5-0,16.7%,6.8,-3.8
Weber St,1-5-1,16.7%,-1.3,-7.6
TX Southern,1-6-0,14.3%,-10.1,-6.8
E Washingtn,1-7-0,12.5%,-11.5,-3.8
Ste F Austin,0-2-0,0.0%,-8.0,-6.0
Montana,0-3-0,0.0%,-11.0,-7.7
Hawaii,0-2-0,0.0%,-2.0,-19.0
Bryant,0-7-0,0.0%,-6.0,-6.8
U Penn,0-3-0,0.0%,-20.0,-18.8
Nicholls,0-1-0,0.0%,19.0,-11.5
