Team,Over Record,Over %,Under %,Total +/-
New Orleans,196-173-2,53.1%,46.9%,+0.6
Sacramento,167-148-7,53.0%,47.0%,+1.0
Cleveland,280-253-7,52.5%,47.5%,+0.9
Phoenix,221-200-3,52.5%,47.5%,+0.3
Philadelphia,233-211-6,52.5%,47.5%,+1.2
Boston,366-332-7,52.4%,47.6%,+1.0
Toronto,289-264-6,52.3%,47.7%,+0.5
Milwaukee,322-297-6,52.0%,48.0%,+1.0
Okla City,245-233-11,51.3%,48.7%,+1.0
Washington,174-166-5,51.2%,48.8%,+1.0
Miami,262-251-3,51.1%,48.9%,+0.3
Detroit,121-119-4,50.4%,49.6%,+0.3
Minnesota,184-183-3,50.1%,49.9%,-0.4
San Antonio,229-232-4,49.7%,50.3%,+0.5
Charlotte,147-150-2,49.5%,50.5%,+1.7
Houston,239-244-12,49.5%,50.5%,-0.2
Indiana,210-217-4,49.2%,50.8%,+0.4
Atlanta,207-214-5,49.2%,50.8%,+0.2
Denver,267-278-5,49.0%,51.0%,+0.7
Portland,197-206-6,48.9%,51.1%,+1.3
LA Clippers,284-301-9,48.6%,51.5%,-0.1
Utah,242-259-5,48.3%,51.7%,0.0
Golden State,348-373-10,48.3%,51.7%,-0.1
Brooklyn,153-165-4,48.1%,51.9%,-0.7
Dallas,213-232-6,47.9%,52.1%,0.0
Chicago,153-173-4,46.9%,53.1%,+0.2
Memphis,188-213-12,46.9%,53.1%,-0.2
Orlando,109-125-2,46.6%,53.4%,-1.8
LA Lakers,173-199-3,46.5%,53.5%,-0.9
New York,136-158-3,46.3%,53.7%,-0.4
