Team,Over Record,Over %,Under %,Total +/-
New York,1-0-0,100.0%,0.0%,+1.0
Golden State,1-0-0,100.0%,0.0%,+1.0
Philadelphia,1-0-0,100.0%,0.0%,+3.5
Sacramento,1-0-0,100.0%,0.0%,+7.5
Phoenix,1-0-0,100.0%,0.0%,+7.5
Memphis,1-0-0,100.0%,0.0%,+13.5
Houston,1-0-0,100.0%,0.0%,+23.0
Milwaukee,1-0-0,100.0%,0.0%,+25.0
New Orleans,1-0-0,100.0%,0.0%,+13.5
Washington,1-0-0,100.0%,0.0%,+25.0
Orlando,1-0-0,100.0%,0.0%,+30.0
Atlanta,1-0-0,100.0%,0.0%,+19.0
Miami,1-0-0,100.0%,0.0%,+30.0
Minnesota,1-0-0,100.0%,0.0%,+10.0
Okla City,1-0-0,100.0%,0.0%,+23.0
Portland,1-0-0,100.0%,0.0%,+10.0
Brooklyn,1-0-0,100.0%,0.0%,+25.0
LA Clippers,1-0-0,100.0%,0.0%,+11.5
Toronto,1-0-0,100.0%,0.0%,+19.0
LA Lakers,1-0-0,100.0%,0.0%,+1.0
Utah,1-0-0,100.0%,0.0%,+11.5
Charlotte,1-0-0,100.0%,0.0%,+25.0
Boston,1-0-0,100.0%,0.0%,+3.5
Cleveland,1-0-0,100.0%,0.0%,+1.0
Dallas,0-1-0,0.0%,100.0%,-7.0
Detroit,0-1-0,0.0%,100.0%,-10.5
Chicago,0-1-0,0.0%,100.0%,-10.5
San Antonio,0-1-0,0.0%,100.0%,-7.0
