Team,Over Record,Over %,Under %,Total +/-
Brooklyn,1-0-0,100.0%,0.0%,+25.0
Golden State,1-0-0,100.0%,0.0%,+1.0
New York,1-0-0,100.0%,0.0%,+1.0
LA Lakers,1-0-0,100.0%,0.0%,+1.0
Toronto,1-0-0,100.0%,0.0%,+19.0
Memphis,1-0-0,100.0%,0.0%,+13.5
Boston,1-0-0,100.0%,0.0%,+3.5
New Orleans,1-0-0,100.0%,0.0%,+13.5
Cleveland,1-0-0,100.0%,0.0%,+1.0
Miami,1-0-0,100.0%,0.0%,+30.0
Charlotte,1-0-0,100.0%,0.0%,+25.0
Washington,1-0-0,100.0%,0.0%,+25.0
Orlando,1-0-0,100.0%,0.0%,+30.0
Atlanta,1-0-0,100.0%,0.0%,+19.0
Okla City,1-0-0,100.0%,0.0%,+23.0
Minnesota,1-0-0,100.0%,0.0%,+10.0
Utah,1-0-0,100.0%,0.0%,+11.5
Portland,1-0-0,100.0%,0.0%,+10.0
Phoenix,1-0-0,100.0%,0.0%,+7.5
Sacramento,1-0-0,100.0%,0.0%,+7.5
Philadelphia,1-0-0,100.0%,0.0%,+3.5
Milwaukee,1-0-0,100.0%,0.0%,+25.0
LA Clippers,1-0-0,100.0%,0.0%,+11.5
Houston,1-0-0,100.0%,0.0%,+23.0
San Antonio,0-1-0,0.0%,100.0%,-7.0
Chicago,0-1-0,0.0%,100.0%,-10.5
Dallas,0-1-0,0.0%,100.0%,-7.0
Detroit,0-1-0,0.0%,100.0%,-10.5
