Team,ATS Record,Cover %,MOV,ATS +/-
Memphis,479-421-18,53.2%,1.2,+0.8
Okla City,519-473-13,52.3%,2.6,+0.2
San Antonio,607-562-20,51.9%,4.5,+0.2
New York,379-361-9,51.2%,-0.5,+0.2
Cleveland,500-478-21,51.1%,2.6,+0.1
Portland,437-421-18,50.9%,-0.1,+0.2
Utah,471-455-22,50.9%,1.8,+0.1
Brooklyn,400-391-14,50.6%,-1.2,-0.6
Orlando,398-390-17,50.5%,0.0,-0.3
Denver,528-518-24,50.5%,2.1,-0.2
Houston,500-495-13,50.3%,2.6,+0.1
Toronto,446-445-16,50.1%,1.4,+0.3
Boston,559-561-30,49.9%,3.8,+0.3
New Orleans,401-403-11,49.9%,-0.4,0.0
Golden State,510-521-25,49.5%,2.9,-0.6
LA Clippers,472-483-14,49.4%,2.0,0.0
Detroit,397-412-22,49.1%,0.6,-0.3
Phoenix,462-480-16,49.0%,1.9,-0.5
Charlotte,308-320-11,49.0%,-2.1,+0.1
Miami,538-563-25,48.9%,2.0,-0.5
Philadelphia,407-429-18,48.7%,0.3,-0.5
Dallas,518-548-20,48.6%,1.9,-0.7
Indiana,455-489-19,48.2%,0.5,-0.5
Chicago,427-459-14,48.2%,-0.3,-0.7
Atlanta,410-444-8,48.0%,-0.6,-0.6
Milwaukee,426-477-20,47.2%,0.8,-1.1
Washington,343-393-12,46.6%,-1.9,-0.7
LA Lakers,458-531-16,46.3%,1.8,-0.6
Sacramento,331-394-18,45.7%,-2.2,-1.4
Minnesota,324-395-17,45.1%,-0.8,-0.9
