Team,ATS Record,Cover %,MOV,ATS +/-
Okla City,88-66-5,57.1%,3.7,+2.0
Indiana,78-61-3,56.1%,2.5,+3.2
Miami,89-73-2,54.9%,2.5,+1.3
Chicago,73-60-5,54.9%,-1.5,+1.1
Portland,77-67-3,53.5%,0.0,+0.7
Golden State,107-95-7,53.0%,5.4,-0.2
Brooklyn,82-73-4,52.9%,-1.0,+1.0
Milwaukee,85-82-6,50.9%,3.8,0.0
New Orleans,77-75-2,50.7%,0.5,+1.2
New York,79-77-0,50.6%,-1.4,+0.3
Philadelphia,84-82-4,50.6%,1.4,+0.5
Boston,87-86-6,50.3%,4.6,-0.1
Cleveland,88-87-2,50.3%,1.7,0.0
San Antonio,72-72-2,50.0%,2.1,+0.9
Utah,77-77-4,50.0%,2.4,-0.1
Houston,77-77-1,50.0%,2.2,+0.2
Detroit,71-73-4,49.3%,-2.7,+1.1
Dallas,71-73-4,49.3%,0.6,+0.5
Denver,75-79-4,48.7%,2.4,-0.2
Memphis,74-78-4,48.7%,0.5,+1.2
LA Lakers,70-75-1,48.3%,0.1,+0.1
Atlanta,71-77-0,48.0%,-0.8,0.0
Toronto,75-82-3,47.8%,1.8,-0.3
LA Clippers,78-86-2,47.6%,1.9,-1.7
Orlando,65-74-1,46.8%,-4.1,-1.9
Washington,66-76-1,46.5%,-4.4,-2.6
Minnesota,67-80-1,45.6%,0.8,0.0
Sacramento,67-81-5,45.3%,-2.5,-1.1
Charlotte,56-74-3,43.1%,-4.0,-2.5
Phoenix,55-91-3,37.7%,-3.8,-3.3
