Team,ATS Record,Cover %,MOV,ATS +/-
New York,159-134-4,54.3%,5.6,+0.6
Philadelphia,239-202-9,54.2%,6.8,+0.5
Orlando,126-107-3,54.1%,4.9,-0.2
Boston,362-328-16,52.5%,6.9,+0.2
LA Clippers,307-281-6,52.2%,7.0,+0.2
Portland,209-192-8,52.1%,5.4,+0.1
Memphis,211-194-8,52.1%,5.4,+0.1
San Antonio,237-221-7,51.8%,7.6,+0.6
Okla City,249-234-6,51.6%,7.1,+0.4
Milwaukee,311-297-17,51.2%,6.6,-0.4
Dallas,225-215-11,51.1%,5.5,-0.3
Utah,251-241-14,51.0%,7.0,+0.2
Indiana,214-207-10,50.8%,5.0,-0.3
Golden State,362-351-19,50.8%,8.4,0.0
Charlotte,150-147-2,50.5%,4.8,-0.1
Houston,246-243-7,50.3%,6.4,-0.3
Chicago,163-162-5,50.2%,4.2,-0.9
Toronto,276-279-4,49.7%,6.2,-0.2
Miami,247-252-17,49.5%,4.4,-1.0
New Orleans,181-186-4,49.3%,4.6,-0.7
Phoenix,207-213-5,49.3%,4.9,-1.1
Cleveland,255-270-15,48.6%,6.4,-0.4
Detroit,116-125-3,48.1%,3.9,-1.0
Atlanta,203-219-5,48.1%,4.0,-1.5
Denver,258-280-12,48.0%,5.5,-0.8
Sacramento,146-167-9,46.7%,3.4,-1.6
Brooklyn,148-170-4,46.5%,4.4,-0.9
LA Lakers,170-200-6,46.0%,4.2,-1.6
Washington,154-184-7,45.6%,3.5,-1.6
Minnesota,163-201-7,44.8%,4.9,-0.9
