Team,ATS Record,Cover %,MOV,ATS +/-
Okla City,975-876-35,52.7%,1.3,+0.4
San Antonio,996-920-38,52.0%,3.6,+0.5
Boston,1014-947-39,51.7%,3.1,+0.6
Golden State,969-907-39,51.7%,2.2,+0.2
Dallas,965-910-40,51.5%,2.0,+0.1
Denver,956-902-35,51.5%,2.0,+0.2
Memphis,934-884-32,51.4%,-0.2,+0.4
Miami,998-954-44,51.1%,1.8,+0.1
Indiana,938-901-43,51.0%,0.7,+0.3
Toronto,921-896-35,50.7%,0.3,+0.3
Utah,916-894-37,50.6%,0.8,+0.2
New York,896-876-24,50.6%,-1.9,+0.1
Philadelphia,911-909-32,50.1%,-1.1,0.0
New Orleans,887-889-31,49.9%,-1.2,+0.2
Chicago,906-910-26,49.9%,-0.5,+0.1
Phoenix,914-923-29,49.8%,0.4,-0.2
Houston,916-929-27,49.7%,1.4,+0.2
Portland,894-911-27,49.5%,-1.2,-0.2
Orlando,888-905-38,49.5%,-1.5,-0.2
Cleveland,928-947-37,49.5%,0.5,-0.2
Detroit,896-916-42,49.5%,-1.0,-0.1
Charlotte,808-832-35,49.3%,-3.7,-0.2
Sacramento,853-882-44,49.2%,-2.3,-0.4
Milwaukee,897-928-35,49.2%,0.3,-0.4
Brooklyn,886-920-35,49.1%,-2.3,-0.4
LA Clippers,906-942-20,49.0%,0.8,-0.1
Atlanta,894-956-19,48.3%,-1.5,-0.4
LA Lakers,899-993-33,47.5%,0.4,-0.4
Washington,845-936-39,47.5%,-2.7,-0.3
Minnesota,828-939-28,46.9%,-1.7,-0.3
