Team,ATS Record,Cover %,MOV,ATS +/-
Mercyhurst,6-1-1,85.7%,6.1,+6.0
Utah Tech,18-5-1,78.3%,6.7,+5.1
Queens,21-8-1,72.4%,4.5,+2.1
St. Thomas,18-8-0,69.2%,9.1,+3.9
Maryland ES,33-17-1,66.0%,-7.9,+1.8
NC Central,37-22-4,62.7%,2.8,+2.3
IPFW,97-62-4,61.0%,1.5,+2.1
TX-Arlington,50-32-1,61.0%,2.0,+2.7
Florida A&M,27-18-0,60.0%,-7.5,+1.9
Norfolk St,33-23-2,58.9%,-2.7,+2.8
Arizona,160-114-7,58.4%,12.1,+2.0
Prairie View,26-19-2,57.8%,-7.5,+1.6
N Florida,55-41-2,57.3%,-1.2,+1.9
NC-Asheville,68-51-2,57.1%,1.1,+1.2
Jksnville St,80-61-3,56.7%,-0.1,+1.4
UC Davis,61-47-3,56.5%,-0.1,-0.1
Manhattan,138-107-3,56.3%,-0.1,+0.3
TX A&M-Com,9-7-0,56.3%,0.3,-0.9
Neb Omaha,63-49-2,56.3%,-0.3,+0.9
Vermont,80-63-2,55.9%,7.8,+1.0
Maine,66-52-3,55.9%,-3.6,+0.4
UC Riverside,91-72-2,55.8%,-1.0,+0.3
Michigan St,279-222-8,55.7%,8.7,+0.9
Colgate,84-67-0,55.6%,0.3,+1.0
SE Louisiana,50-40-1,55.6%,0.5,+0.5
San Diego,99-80-2,55.3%,1.6,+1.7
Davidson,210-171-5,55.1%,6.3,+0.9
Oakland,70-57-2,55.1%,0.2,+0.5
Cornell,49-40-2,55.1%,0.7,+1.2
VCU,259-212-7,55.0%,6.4,+1.3
Jackson St,28-23-1,54.9%,-6.7,+0.7
Kansas City,46-38-1,54.8%,-3.2,+0.6
Coppin St,35-29-1,54.7%,-9.5,+2.0
Utah Valley,41-34-2,54.7%,4.0,+2.1
Kansas St,268-223-13,54.6%,2.2,+1.1
Lipscomb,60-50-0,54.6%,1.8,+1.0
Villanova,270-225-7,54.6%,6.9,+1.0
LA Tech,92-77-3,54.4%,6.0,+0.7
Mercer,94-79-3,54.3%,1.1,+0.9
