Team,ATS Record,Cover %,MOV,ATS +/-
San Antonio,516-443-20,53.8%,6.6,+0.7
Okla City,502-441-16,53.2%,4.7,+0.7
Golden State,508-449-20,53.1%,5.5,+0.5
Utah,473-429-22,52.4%,4.5,+0.7
Memphis,480-439-15,52.2%,2.5,+0.3
Denver,488-447-15,52.2%,5.9,+0.6
Indiana,482-444-28,52.1%,4.1,+0.8
New Orleans,451-443-15,50.5%,1.1,-0.1
Portland,454-450-13,50.2%,2.0,0.0
Philadelphia,456-453-18,50.2%,1.3,-0.2
Atlanta,462-472-8,49.5%,1.4,-0.5
Toronto,450-460-19,49.5%,2.8,0.0
Cleveland,473-486-13,49.3%,3.5,-0.1
Boston,487-501-22,49.3%,5.4,0.0
Miami,481-495-23,49.3%,4.4,-0.2
New York,447-461-10,49.2%,0.3,-0.4
LA Clippers,456-471-9,49.2%,3.6,-0.1
Charlotte,407-423-15,49.0%,-0.8,0.0
Detroit,451-471-17,48.9%,1.6,-0.2
Houston,448-475-18,48.5%,4.1,0.0
Chicago,447-474-11,48.5%,1.5,-0.7
Dallas,452-480-23,48.5%,4.7,-0.2
Milwaukee,440-471-19,48.3%,3.0,-0.5
Orlando,432-464-19,48.2%,1.2,-0.4
Phoenix,447-483-12,48.1%,3.0,-0.6
LA Lakers,449-495-18,47.6%,3.5,0.0
Washington,418-476-19,46.8%,0.2,-0.1
Brooklyn,422-481-19,46.7%,-0.4,-1.1
Sacramento,405-466-24,46.5%,0.2,-0.8
Minnesota,401-501-11,44.5%,0.7,-0.9
