Team,ATS Record,Cover %,MOV,ATS +/-
San Antonio,691-604-31,53.4%,7.9,+0.7
Okla City,551-491-14,52.9%,7.0,+0.3
New York,349-326-6,51.7%,4.6,-0.5
Utah,492-461-21,51.6%,6.5,-0.1
Memphis,449-422-16,51.6%,5.2,-0.2
LA Clippers,530-502-14,51.4%,6.4,+0.1
Portland,419-398-12,51.3%,5.2,-0.2
Golden State,570-546-25,51.1%,7.6,+0.1
Toronto,455-437-12,51.0%,5.8,-0.1
Miami,615-595-26,50.8%,5.8,-0.4
Phoenix,510-496-16,50.7%,5.8,-0.6
Denver,567-552-19,50.7%,6.1,-0.4
Indiana,484-473-20,50.6%,5.4,-0.3
Boston,647-639-24,50.3%,6.5,-0.1
Philadelphia,407-402-16,50.3%,5.2,-0.4
Milwaukee,491-488-25,50.2%,5.6,-0.7
Charlotte,242-241-5,50.1%,4.4,-0.3
Orlando,382-382-14,50.0%,5.1,-0.7
Cleveland,513-516-23,49.9%,6.5,-0.3
Detroit,406-410-16,49.8%,5.2,-0.6
Chicago,415-420-13,49.7%,4.9,-0.6
Dallas,563-573-29,49.6%,5.8,-0.6
Houston,529-540-15,49.5%,6.1,-0.2
Atlanta,398-414-10,49.0%,4.3,-1.1
Brooklyn,341-359-14,48.7%,4.0,-1.2
New Orleans,358-381-13,48.4%,4.1,-1.1
Sacramento,313-354-20,46.9%,3.9,-1.5
LA Lakers,486-559-21,46.5%,5.3,-1.2
Washington,295-355-13,45.4%,3.8,-1.1
Minnesota,339-412-11,45.1%,4.8,-0.9
