Team,ATS Record,Cover %,MOV,ATS +/-
Memphis,240-182-5,56.9%,-1.9,+1.1
Boston,242-215-9,53.0%,2.7,+1.2
Toronto,228-204-9,52.8%,-1.3,+0.8
Dallas,239-219-10,52.2%,0.4,0.0
Okla City,238-223-9,51.6%,-1.2,-0.1
San Antonio,238-223-10,51.6%,2.5,+0.8
Washington,205-194-5,51.4%,-4.0,+0.2
New Orleans,216-205-8,51.3%,-3.2,+0.2
LA Clippers,251-239-6,51.2%,-0.1,+0.4
Portland,234-223-3,51.2%,-1.9,+0.3
Sacramento,230-221-11,51.0%,-3.9,-0.3
Chicago,197-190-8,50.9%,-1.2,+0.7
Miami,230-223-13,50.8%,0.1,-0.1
Detroit,220-217-9,50.3%,-3.1,-0.5
Milwaukee,210-210-6,50.0%,-1.8,-0.4
Orlando,197-197-8,50.0%,-2.9,+0.2
Utah,223-227-10,49.6%,-1.0,+0.2
New York,212-216-7,49.5%,-3.5,+0.3
Indiana,207-213-4,49.3%,-2.1,-0.4
Philadelphia,216-223-9,49.2%,-2.5,+0.5
Golden State,227-237-7,48.9%,-0.4,-0.1
Charlotte,169-177-10,48.8%,-6.4,-0.5
Cleveland,211-225-11,48.4%,-2.2,-1.0
Houston,211-227-10,48.2%,-0.7,-0.3
Minnesota,193-210-9,47.9%,-3.6,-0.3
LA Lakers,248-270-6,47.9%,-1.6,-0.5
Denver,225-249-9,47.5%,-0.6,-0.6
Atlanta,197-221-6,47.1%,-3.1,-0.5
Phoenix,203-229-7,47.0%,-2.8,-1.5
Brooklyn,194-243-3,44.4%,-4.9,-1.5
