Team,Over Record,Over %,Under %,Total +/-
Washington,186-144-6,56.4%,43.6%,+2.3
Phoenix,212-175-4,54.8%,45.2%,+1.0
Memphis,217-183-8,54.3%,45.8%,+1.5
Detroit,153-141-7,52.0%,48.0%,+1.2
Orlando,171-159-4,51.8%,48.2%,+0.2
Toronto,249-233-9,51.7%,48.3%,+0.5
Minnesota,207-194-0,51.6%,48.4%,+0.3
Cleveland,242-229-6,51.4%,48.6%,+0.7
Portland,201-191-6,51.3%,48.7%,+0.9
Utah,220-215-6,50.6%,49.4%,+1.1
Milwaukee,269-264-3,50.5%,49.5%,+1.1
Denver,260-260-3,50.0%,50.0%,+0.3
Philadelphia,217-219-9,49.8%,50.2%,+0.3
Golden State,287-290-11,49.7%,50.3%,-0.1
Charlotte,160-162-3,49.7%,50.3%,+0.2
New York,184-187-7,49.6%,50.4%,+0.7
New Orleans,177-183-3,49.2%,50.8%,+0.2
Atlanta,188-196-4,49.0%,51.0%,+0.3
Boston,293-307-7,48.8%,51.2%,+0.3
Miami,235-251-1,48.4%,51.7%,+0.2
Chicago,168-181-3,48.1%,51.9%,+0.5
LA Clippers,239-258-11,48.1%,51.9%,-0.4
San Antonio,197-216-4,47.7%,52.3%,-1.0
LA Lakers,194-214-3,47.6%,52.5%,-0.6
Okla City,231-257-7,47.3%,52.7%,-0.8
Brooklyn,163-183-4,47.1%,52.9%,+0.1
Houston,203-229-8,47.0%,53.0%,-1.3
Sacramento,165-187-7,46.9%,53.1%,-0.7
Dallas,192-227-5,45.8%,54.2%,-0.8
Indiana,201-243-4,45.3%,54.7%,-0.6
