Team,ATS Record,Cover %,MOV,ATS +/-
Miami,23-10-0,69.7%,5.8,+3.8
LA Clippers,25-11-0,69.4%,2.5,+1.3
Sacramento,18-10-0,64.3%,-0.3,+1.2
Boston,25-14-1,64.1%,7.7,+4.1
Indiana,22-13-0,62.9%,3.5,+1.1
Okla City,18-12-1,60.0%,2.6,+2.0
Charlotte,17-13-1,56.7%,1.5,+3.0
Orlando,18-15-0,54.6%,0.0,+2.0
San Antonio,17-15-0,53.1%,1.4,+3.0
Toronto,16-15-0,51.6%,-0.9,-3.4
Denver,19-18-0,51.4%,2.9,+0.4
Portland,16-16-0,50.0%,-1.0,+0.5
Cleveland,19-19-0,50.0%,2.5,+0.6
Milwaukee,17-17-0,50.0%,2.9,-0.4
Golden State,18-19-0,48.7%,4.4,-0.9
Houston,16-17-0,48.5%,-0.1,-1.0
Chicago,15-16-0,48.4%,-0.8,-0.3
Philadelphia,15-17-0,46.9%,0.0,+0.4
Minnesota,14-16-0,46.7%,1.4,+2.1
Detroit,14-16-0,46.7%,-2.7,+0.4
Utah,13-16-1,44.8%,0.8,-1.2
Dallas,14-18-0,43.8%,-2.4,-1.8
Phoenix,14-18-1,43.8%,-0.8,-2.8
New York,11-15-1,42.3%,-6.0,-2.6
Atlanta,13-18-0,41.9%,-1.0,-1.9
New Orleans,10-16-1,38.5%,-2.1,-1.1
Brooklyn,11-18-0,37.9%,-8.5,-5.4
Washington,11-18-1,37.9%,-7.2,-3.6
LA Lakers,13-23-0,36.1%,-2.9,-3.8
Memphis,10-18-0,35.7%,-3.8,-4.5
