Team,Over Record,Over %,Under %,Total +/-
Detroit,5-0-0,100.0%,0.0%,+17.7
Denver,6-0-0,100.0%,0.0%,+20.0
Charlotte,5-1-0,83.3%,16.7%,+12.4
Cleveland,3-1-0,75.0%,25.0%,+8.1
San Antonio,3-1-0,75.0%,25.0%,+14.8
Memphis,2-1-0,66.7%,33.3%,+15.0
Utah,5-3-0,62.5%,37.5%,+3.2
Atlanta,3-2-0,60.0%,40.0%,-5.4
Portland,3-2-0,60.0%,40.0%,+3.1
New Orleans,4-3-0,57.1%,42.9%,+4.9
Houston,4-3-0,57.1%,42.9%,-4.3
Minnesota,4-3-0,57.1%,42.9%,+4.5
Philadelphia,4-4-0,50.0%,50.0%,-1.6
Chicago,3-3-0,50.0%,50.0%,+5.9
LA Lakers,3-3-0,50.0%,50.0%,+0.8
Washington,3-3-0,50.0%,50.0%,-8.5
Boston,3-3-0,50.0%,50.0%,-4.8
Milwaukee,4-5-0,44.4%,55.6%,-6.1
Miami,3-4-0,42.9%,57.1%,+1.4
LA Clippers,2-3-0,40.0%,60.0%,+4.2
Sacramento,2-3-0,40.0%,60.0%,-6.2
Brooklyn,2-3-0,40.0%,60.0%,-1.1
Golden State,3-5-0,37.5%,62.5%,-0.1
Indiana,1-3-0,25.0%,75.0%,-9.8
Toronto,2-6-0,25.0%,75.0%,-11.0
Phoenix,1-3-0,25.0%,75.0%,-7.3
Dallas,1-4-0,20.0%,80.0%,-10.9
Okla City,1-4-0,20.0%,80.0%,-15.0
New York,1-5-0,16.7%,83.3%,-5.2
Orlando,0-2-0,0.0%,100.0%,-4.5
