Team,Over Record,Over %,Under %,Total +/-
New Orleans,4-1-1,80.0%,20.0%,+8.9
Memphis,4-1-0,80.0%,20.0%,+1.0
Phoenix,7-2-0,77.8%,22.2%,+7.9
Dallas,7-2-0,77.8%,22.2%,+10.0
Minnesota,3-1-0,75.0%,25.0%,+4.6
Chicago,6-2-0,75.0%,25.0%,+9.9
Denver,5-4-0,55.6%,44.4%,+9.3
Washington,3-3-0,50.0%,50.0%,-4.4
Charlotte,3-3-0,50.0%,50.0%,+6.3
New York,2-2-0,50.0%,50.0%,-7.9
Philadelphia,1-1-0,50.0%,50.0%,-1.0
Sacramento,3-3-0,50.0%,50.0%,+0.7
Milwaukee,4-4-0,50.0%,50.0%,+1.5
Boston,3-4-0,42.9%,57.1%,-1.2
San Antonio,3-4-0,42.9%,57.1%,-7.2
Brooklyn,2-3-0,40.0%,60.0%,+2.0
Cleveland,2-3-0,40.0%,60.0%,-2.9
Atlanta,3-5-0,37.5%,62.5%,-5.3
Okla City,3-5-0,37.5%,62.5%,-1.1
Houston,3-5-0,37.5%,62.5%,+0.3
Indiana,3-5-0,37.5%,62.5%,-5.4
Golden State,1-2-0,33.3%,66.7%,-2.2
LA Lakers,1-2-0,33.3%,66.7%,-3.7
Toronto,3-6-0,33.3%,66.7%,+5.2
Detroit,2-4-0,33.3%,66.7%,-3.5
Utah,2-4-0,33.3%,66.7%,+2.0
Orlando,1-3-0,25.0%,75.0%,-19.0
LA Clippers,2-6-0,25.0%,75.0%,-6.8
Miami,1-3-0,25.0%,75.0%,-6.9
Portland,0-3-0,0.0%,100.0%,-19.5
