Team,Over Record,Over %,Under %,Total +/-
Minnesota,5-0-0,100.0%,0.0%,+12.4
Houston,7-1-0,87.5%,12.5%,+8.9
Golden State,5-1-0,83.3%,16.7%,-1.3
Portland,6-2-0,75.0%,25.0%,+10.5
Miami,6-3-0,66.7%,33.3%,+12.4
New York,6-3-0,66.7%,33.3%,+3.4
Detroit,5-3-0,62.5%,37.5%,-0.2
Chicago,5-3-0,62.5%,37.5%,+0.7
Okla City,3-2-0,60.0%,40.0%,+1.6
Philadelphia,3-2-0,60.0%,40.0%,-0.2
Charlotte,4-3-0,57.1%,42.9%,+7.9
Washington,4-3-0,57.1%,42.9%,+3.3
Orlando,4-3-0,57.1%,42.9%,+6.9
LA Lakers,4-3-0,57.1%,42.9%,+0.4
Indiana,2-2-0,50.0%,50.0%,-3.9
Dallas,5-5-0,50.0%,50.0%,+6.9
Milwaukee,6-6-0,50.0%,50.0%,+2.1
Cleveland,6-6-0,50.0%,50.0%,+2.6
Utah,3-3-0,50.0%,50.0%,-3.3
Sacramento,3-3-0,50.0%,50.0%,+2.5
New Orleans,4-4-0,50.0%,50.0%,-1.7
Toronto,5-5-0,50.0%,50.0%,-1.5
Brooklyn,3-3-0,50.0%,50.0%,+3.8
Phoenix,4-5-0,44.4%,55.6%,-2.3
Atlanta,4-5-0,44.4%,55.6%,-2.8
LA Clippers,3-4-0,42.9%,57.1%,+3.2
Memphis,4-6-0,40.0%,60.0%,-0.9
San Antonio,3-5-0,37.5%,62.5%,-4.1
Boston,3-5-0,37.5%,62.5%,-6.9
Denver,1-3-0,25.0%,75.0%,-14.4
