Team,Over Record,Over %,Under %,Total +/-
Golden State,1-0-0,100.0%,0.0%,+1.0
Toronto,1-0-0,100.0%,0.0%,+19.0
Sacramento,1-0-0,100.0%,0.0%,+7.5
Brooklyn,1-0-0,100.0%,0.0%,+25.0
LA Lakers,1-0-0,100.0%,0.0%,+1.0
Boston,1-0-0,100.0%,0.0%,+3.5
LA Clippers,1-0-0,100.0%,0.0%,+11.5
Indiana,1-0-0,100.0%,0.0%,+44.5
Houston,1-0-0,100.0%,0.0%,+23.0
Milwaukee,1-0-0,100.0%,0.0%,+25.0
New Orleans,1-0-0,100.0%,0.0%,+13.5
Cleveland,1-0-0,100.0%,0.0%,+1.0
Memphis,1-0-0,100.0%,0.0%,+13.5
Orlando,1-0-0,100.0%,0.0%,+30.0
Charlotte,1-0-0,100.0%,0.0%,+25.0
Atlanta,1-0-0,100.0%,0.0%,+19.0
Okla City,1-0-0,100.0%,0.0%,+23.0
Utah,1-0-0,100.0%,0.0%,+11.5
Portland,1-0-0,100.0%,0.0%,+10.0
Minnesota,1-0-0,100.0%,0.0%,+10.0
Denver,1-0-0,100.0%,0.0%,+35.0
New York,1-0-0,100.0%,0.0%,+1.0
Phoenix,1-0-0,100.0%,0.0%,+7.5
Philadelphia,1-0-0,100.0%,0.0%,+3.5
Washington,1-0-0,100.0%,0.0%,+25.0
Miami,1-0-0,100.0%,0.0%,+30.0
Detroit,0-1-0,0.0%,100.0%,-10.5
Dallas,0-1-0,0.0%,100.0%,-7.0
Chicago,0-1-0,0.0%,100.0%,-10.5
San Antonio,0-1-0,0.0%,100.0%,-7.0
