Team,ATS Record,Cover %,MOV,ATS +/-
Boston,123-96-5,56.2%,-1.9,+2.4
Okla City,197-163-9,54.7%,-5.7,+0.6
Denver,173-148-8,53.9%,-3.7,+1.6
Miami,215-184-5,53.9%,-3.7,+1.6
Dallas,237-212-9,52.8%,-4.3,+1.3
Toronto,190-172-9,52.5%,-4.4,+1.0
Sacramento,251-234-14,51.8%,-6.0,+0.1
Brooklyn,275-258-13,51.6%,-6.2,+0.6
Indiana,226-213-8,51.5%,-4.1,+1.1
Utah,188-179-5,51.2%,-6.1,+0.3
Golden State,127-124-2,50.6%,-5.5,-0.2
Minnesota,214-216-7,49.8%,-4.8,+0.9
Philadelphia,200-204-8,49.5%,-6.6,+0.2
Chicago,256-264-10,49.2%,-5.8,+0.2
San Antonio,209-216-8,49.2%,-6.7,-0.2
New York,245-254-8,49.1%,-5.7,+0.5
Atlanta,235-245-2,49.0%,-5.4,+0.4
LA Lakers,223-233-2,48.9%,-5.9,+0.7
LA Clippers,151-158-1,48.9%,-5.0,+0.2
Orlando,273-288-11,48.7%,-6.6,-0.1
Detroit,262-277-21,48.6%,-6.8,+0.2
Memphis,224-237-6,48.6%,-5.9,+0.4
Portland,231-247-9,48.3%,-7.3,-0.6
Cleveland,174-187-6,48.2%,-6.9,-0.1
New Orleans,229-248-10,48.0%,-5.5,+0.5
Washington,253-275-11,47.9%,-7.1,-0.1
Phoenix,212-238-4,47.1%,-7.6,-0.7
Houston,182-205-8,47.0%,-7.1,-0.3
Charlotte,247-279-16,47.0%,-7.3,-0.5
Milwaukee,117-144-3,44.8%,-5.6,-0.9
