Team,ATS Record,Cover %,MOV,ATS +/-
Brooklyn,226-197-6,53.4%,0.0,+0.5
Denver,238-211-14,53.0%,4.6,+0.5
San Antonio,225-201-8,52.8%,5.9,+0.9
Golden State,248-224-14,52.5%,4.6,+0.3
Chicago,246-223-4,52.5%,1.1,+0.3
Detroit,218-198-7,52.4%,1.5,+1.2
Utah,225-211-9,51.6%,3.7,+0.3
Okla City,222-209-10,51.5%,3.0,+0.4
Toronto,201-190-8,51.4%,2.0,+0.2
Atlanta,219-210-2,51.1%,0.3,+0.3
Dallas,214-206-7,51.0%,4.5,+0.2
Indiana,214-209-10,50.6%,2.8,+0.5
Miami,217-212-8,50.6%,3.0,+0.1
New Orleans,224-219-9,50.6%,0.7,+0.5
New York,210-210-4,50.0%,-0.8,-0.3
Memphis,214-215-7,49.9%,1.7,+0.1
Portland,226-228-6,49.8%,0.6,-0.1
Boston,199-201-10,49.8%,5.4,+0.8
Houston,217-220-4,49.7%,3.1,0.0
Cleveland,222-226-5,49.6%,2.4,+0.1
Sacramento,210-215-18,49.4%,0.1,+0.3
Phoenix,236-248-8,48.8%,2.4,-0.3
Philadelphia,208-219-4,48.7%,-0.5,-0.4
LA Clippers,230-243-4,48.6%,2.6,-0.6
Charlotte,189-208-8,47.6%,-2.8,-0.8
Washington,207-229-13,47.5%,-1.4,-0.4
LA Lakers,208-231-4,47.4%,2.2,-0.2
Milwaukee,222-248-11,47.2%,1.7,-0.8
Minnesota,203-228-6,47.1%,-0.1,-0.2
Orlando,198-239-9,45.3%,-0.8,-1.3
