Team,ATS Record,Cover %,MOV,ATS +/-
San Antonio,6-1-0,85.7%,7.0,+10.6
Cleveland,9-2-0,81.8%,14.1,+5.8
LA Clippers,6-3-0,66.7%,10.4,+7.7
Brooklyn,7-4-0,63.6%,-4.0,+2.0
Washington,5-3-0,62.5%,-11.5,-1.1
Houston,7-5-0,58.3%,4.8,+3.3
Atlanta,5-4-0,55.6%,-0.1,+2.4
New York,6-5-0,54.6%,2.6,-1.1
Memphis,6-5-0,54.6%,7.9,+6.4
Milwaukee,7-6-0,53.9%,3.0,0.0
Utah,7-6-0,53.9%,-3.8,+3.3
Minnesota,4-4-0,50.0%,4.8,+1.9
Chicago,5-5-1,50.0%,-1.8,+0.1
Indiana,4-4-0,50.0%,4.9,+5.6
Miami,6-6-0,50.0%,3.3,+0.3
Golden State,6-7-0,46.2%,-0.8,-3.5
Toronto,5-6-1,45.5%,-8.6,-3.5
LA Lakers,4-5-0,44.4%,1.7,+1.3
Detroit,4-5-0,44.4%,-3.2,-1.4
Philadelphia,5-7-0,41.7%,0.0,-0.3
Okla City,4-6-1,40.0%,8.0,-0.6
New Orleans,5-8-0,38.5%,-9.8,-4.1
Portland,3-5-0,37.5%,-10.4,-7.2
Phoenix,3-5-0,37.5%,-0.5,-4.4
Dallas,3-5-0,37.5%,-3.8,-3.6
Sacramento,3-7-0,30.0%,-0.9,-4.3
Charlotte,3-7-0,30.0%,-3.2,-2.4
Denver,2-5-0,28.6%,-2.9,-4.1
Orlando,1-5-1,16.7%,-11.3,-10.0
Boston,0-8-0,0.0%,0.3,-13.3
