Team,ATS Record,Cover %,MOV,ATS +/-
San Antonio,516-443-21,53.8%,6.6,+0.7
Okla City,502-441-16,53.2%,4.7,+0.7
Golden State,509-449-20,53.1%,5.5,+0.5
Utah,473-429-22,52.4%,4.5,+0.7
Denver,489-447-15,52.2%,5.9,+0.6
Memphis,481-440-15,52.2%,2.5,+0.3
Indiana,483-444-28,52.1%,4.1,+0.8
New Orleans,451-443-16,50.5%,1.1,-0.1
Portland,455-450-13,50.3%,2.1,+0.1
Philadelphia,456-454-18,50.1%,1.3,-0.2
Atlanta,462-473-8,49.4%,1.4,-0.5
Toronto,450-461-19,49.4%,2.8,-0.1
Miami,482-495-23,49.3%,4.4,-0.2
Boston,487-501-22,49.3%,5.4,0.0
New York,448-461-10,49.3%,0.3,-0.4
Cleveland,473-487-13,49.3%,3.5,-0.1
LA Clippers,457-472-9,49.2%,3.7,-0.1
Charlotte,407-423-15,49.0%,-0.8,0.0
Detroit,452-471-17,49.0%,1.6,-0.2
Chicago,447-474-11,48.5%,1.5,-0.7
Dallas,453-481-23,48.5%,4.7,-0.2
Houston,448-476-18,48.5%,4.1,0.0
Milwaukee,440-471-19,48.3%,3.0,-0.5
Orlando,432-466-19,48.1%,1.2,-0.4
Phoenix,447-483-12,48.1%,3.0,-0.6
LA Lakers,450-495-18,47.6%,3.5,0.0
Brooklyn,423-481-19,46.8%,-0.4,-1.1
Washington,418-477-19,46.7%,0.2,-0.2
Sacramento,405-468-24,46.4%,0.2,-0.8
Minnesota,401-502-11,44.4%,0.7,-0.9
