Team,ATS Record,Cover %,MOV,ATS +/-
New York,8-1-0,88.9%,12.2,+5.3
Golden State,6-1-0,85.7%,13.3,+5.6
Phoenix,9-2-0,81.8%,8.5,+7.8
Miami,7-2-0,77.8%,7.3,+4.7
Utah,7-2-0,77.8%,-0.1,+5.8
Detroit,6-2-0,75.0%,6.5,+3.2
Chicago,6-2-0,75.0%,-0.6,-1.3
Portland,5-2-0,71.4%,-0.9,+0.2
LA Lakers,4-2-0,66.7%,3.3,+1.7
San Antonio,6-3-1,66.7%,7.9,+3.3
Indiana,5-3-0,62.5%,-5.8,-0.9
Okla City,5-3-0,62.5%,18.9,+6.8
Denver,5-3-0,62.5%,13.3,+2.1
Philadelphia,5-4-0,55.6%,0.8,+0.7
New Orleans,5-4-1,55.6%,-10.0,-2.3
Orlando,5-5-0,50.0%,5.5,+0.7
Toronto,4-4-0,50.0%,8.8,+3.7
Charlotte,4-4-0,50.0%,-2.3,+1.7
Milwaukee,5-6-0,45.5%,-0.5,-1.5
Boston,4-5-0,44.4%,6.6,+0.6
Houston,3-4-0,42.9%,11.4,+1.5
Memphis,4-6-0,40.0%,0.2,+1.5
Dallas,5-8-0,38.5%,-4.4,-4.4
Brooklyn,3-5-0,37.5%,-13.4,-3.5
Minnesota,3-5-0,37.5%,8.5,+0.1
Atlanta,2-5-0,28.6%,-2.7,-2.2
Cleveland,3-8-0,27.3%,3.8,-3.7
Sacramento,2-6-0,25.0%,-12.6,-9.1
LA Clippers,1-7-0,12.5%,-1.5,-5.6
Washington,0-6-0,0.0%,-20.7,-16.1
